Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Toronto Building,BL-Building Permission & Information,Building Permits,700A,Inter-Divisional Charges,Expenses,"329,846"
Toronto Building,BL-Building Permission & Information,Preliminary Review,100A,Salaries And Benefits,Expenses,"4,046,740"
Toronto Building,BL-Building Permission & Information,Preliminary Review,200A,Materials & Supplies,Expenses,"12,995"
Toronto Building,BL-Building Permission & Information,Preliminary Review,300A,Equipment,Expenses,"31,922"
Toronto Building,BL-Building Permission & Information,Preliminary Review,400A,Service And Rent,Expenses,"96,686"
Toronto Building,BL-Building Permission & Information,Preliminary Review,510A,Contribution To Reserves/Reserve Funds,Expenses,"376,019"
Toronto Building,BL-Building Permission & Information,Preliminary Review,650A,Other Expenditures,Expenses,"33,872"
Toronto Building,BL-Building Permission & Information,Preliminary Review,700A,Inter-Divisional Charges,Expenses,"78,315"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,100A,Salaries And Benefits,Expenses,"3,034,585"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,200A,Materials & Supplies,Expenses,"80,586"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,300A,Equipment,Expenses,89
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,400A,Service And Rent,Expenses,"(1,094,958)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,510A,Contribution To Reserves/Reserve Funds,Expenses,"47,010"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,700A,Inter-Divisional Charges,Expenses,"45,027"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,100A,Salaries And Benefits,Expenses,"31,704,185"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,200A,Materials & Supplies,Expenses,"250,183"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,300A,Equipment,Expenses,"41,098"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,400A,Service And Rent,Expenses,"25,634,088"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,510A,Contribution To Reserves/Reserve Funds,Expenses,"130,649"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,650A,Other Expenditures,Expenses,"10,200,000"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,700A,Inter-Divisional Charges,Expenses,"454,754"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,100A,Salaries And Benefits,Expenses,"26,931,908"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,200A,Materials & Supplies,Expenses,"13,192,582"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,300A,Equipment,Expenses,"20,108"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,400A,Service And Rent,Expenses,"60,921,502"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,510A,Contribution To Reserves/Reserve Funds,Expenses,"4,773,574"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,650A,Other Expenditures,Expenses,"772,613,295"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,700A,Inter-Divisional Charges,Expenses,"15,870,577"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,100A,Salaries And Benefits,Expenses,"59,570,828"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,200A,Materials & Supplies,Expenses,"479,618"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,300A,Equipment,Expenses,"103,982"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,400A,Service And Rent,Expenses,"(23,195,515)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,510A,Contribution To Reserves/Reserve Funds,Expenses,"378,659"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,700A,Inter-Divisional Charges,Expenses,"854,133"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,100A,Salaries And Benefits,Expenses,"70,856,635"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,200A,Materials & Supplies,Expenses,"294,357"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,300A,Equipment,Expenses,"116,041"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,400A,Service And Rent,Expenses,"27,989,950"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,510A,Contribution To Reserves/Reserve Funds,Expenses,"305,305"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,700A,Inter-Divisional Charges,Expenses,"1,007,232"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,100A,Salaries And Benefits,Expenses,"1,062,449"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,200A,Materials & Supplies,Expenses,"243,926"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,300A,Equipment,Expenses,"12,577"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,400A,Service And Rent,Expenses,"411,943"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,505A,Contribution To Capital,Expenses,"4,536"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,654"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,700A,Inter-Divisional Charges,Expenses,"95,766"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,100A,Salaries And Benefits,Expenses,"512,868"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,200A,Materials & Supplies,Expenses,"25,132"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,300A,Equipment,Expenses,"4,586"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,400A,Service And Rent,Expenses,"20,436"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,505A,Contribution To Capital,Expenses,756
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,510A,Contribution To Reserves/Reserve Funds,Expenses,"70,105"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,700A,Inter-Divisional Charges,Expenses,"41,414"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,100A,Salaries And Benefits,Expenses,"1,018,768"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,200A,Materials & Supplies,Expenses,"133,834"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,300A,Equipment,Expenses,"13,168"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,400A,Service And Rent,Expenses,"125,072"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,505A,Contribution To Capital,Expenses,"3,024"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,510A,Contribution To Reserves/Reserve Funds,Expenses,"393,601"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,650A,Other Expenditures,Expenses,89
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,700A,Inter-Divisional Charges,Expenses,"213,961"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,100A,Salaries And Benefits,Expenses,"1,042,291"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,200A,Materials & Supplies,Expenses,"204,725"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,300A,Equipment,Expenses,"15,720"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,400A,Service And Rent,Expenses,"78,682"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,505A,Contribution To Capital,Expenses,"13,608"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,510A,Contribution To Reserves/Reserve Funds,Expenses,"100,328"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,650A,Other Expenditures,Expenses,197
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,700A,Inter-Divisional Charges,Expenses,"202,531"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,100A,Salaries And Benefits,Expenses,"142,043,615"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,200A,Materials & Supplies,Expenses,"5,305,742"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,300A,Equipment,Expenses,"810,630"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,400A,Service And Rent,Expenses,"6,428,122"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,505A,Contribution To Capital,Expenses,"534,228"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,510A,Contribution To Reserves/Reserve Funds,Expenses,"6,193,653"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,650A,Other Expenditures,Expenses,"8,651"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,700A,Inter-Divisional Charges,Expenses,"7,111,734"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,100A,Salaries And Benefits,Expenses,"21,416,646"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,200A,Materials & Supplies,Expenses,"342,425"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,300A,Equipment,Expenses,"279,741"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,400A,Service And Rent,Expenses,"2,502,688"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,505A,Contribution To Capital,Expenses,"43,848"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,510A,Contribution To Reserves/Reserve Funds,Expenses,"137,892"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,700A,Inter-Divisional Charges,Expenses,"1,914,010"
Toronto Parking Authority,Bike Share,Bike Share,400A,Service And Rent,Expenses,"913,100"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,100A,Salaries And Benefits,Expenses,"21,507,046"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,200A,Materials & Supplies,Expenses,"4,070,987"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,300A,Equipment,Expenses,"4,902,088"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,400A,Service And Rent,Expenses,"20,857,523"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,650A,Other Expenditures,Expenses,"18,842,263"
Toronto Parking Authority,On-Street Parking,On-Street Parking,100A,Salaries And Benefits,Expenses,"2,671,619"
Toronto Parking Authority,On-Street Parking,On-Street Parking,200A,Materials & Supplies,Expenses,"5,368,187"
Toronto Parking Authority,On-Street Parking,On-Street Parking,300A,Equipment,Expenses,"2,396,897"
Toronto Parking Authority,On-Street Parking,On-Street Parking,400A,Service And Rent,Expenses,"3,212,940"
Toronto Parking Authority,On-Street Parking,On-Street Parking,650A,Other Expenditures,Expenses,(1)
Toronto Police Service,Toronto Police Service,Toronto Police Service,100A,Salaries And Benefits,Expenses,"1,011,506,700"
Toronto Police Service,Toronto Police Service,Toronto Police Service,200A,Materials & Supplies,Expenses,"18,518,400"
Toronto Police Service,Toronto Police Service,Toronto Police Service,300A,Equipment,Expenses,"2,157,800"
Toronto Police Service,Toronto Police Service,Toronto Police Service,400A,Service And Rent,Expenses,"43,303,788"
Toronto Police Service,Toronto Police Service,Toronto Police Service,510A,Contribution To Reserves/Reserve Funds,Expenses,"38,421,889"
Toronto Police Service,Toronto Police Service,Toronto Police Service,700A,Inter-Divisional Charges,Expenses,"20,240,400"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,100A,Salaries And Benefits,Expenses,"963,200"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,200A,Materials & Supplies,Expenses,"7,600"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,300A,Equipment,Expenses,900
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,400A,Service And Rent,Expenses,"821,700"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,505A,Contribution To Capital,Expenses,"610,600"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,700A,Inter-Divisional Charges,Expenses,"645,400"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,100A,Salaries And Benefits,Expenses,"28,541,306"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,200A,Materials & Supplies,Expenses,"438,817"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,300A,Equipment,Expenses,"95,498"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,400A,Service And Rent,Expenses,"3,261,484"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,510A,Contribution To Reserves/Reserve Funds,Expenses,"219,201"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,650A,Other Expenditures,Expenses,"2,876,305"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,700A,Inter-Divisional Charges,Expenses,"2,525,981"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,100A,Salaries And Benefits,Expenses,"2,614,865"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,200A,Materials & Supplies,Expenses,"17,198"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,300A,Equipment,Expenses,"15,421"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,400A,Service And Rent,Expenses,"171,953"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,788"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,700A,Inter-Divisional Charges,Expenses,"292,963"
Toronto Public Health,Environmental Health,Environmental Health,100A,Salaries And Benefits,Expenses,"19,621,248"
Toronto Public Health,Environmental Health,Environmental Health,200A,Materials & Supplies,Expenses,"166,531"
Toronto Public Health,Environmental Health,Environmental Health,300A,Equipment,Expenses,"195,712"
Toronto Public Health,Environmental Health,Environmental Health,400A,Service And Rent,Expenses,"1,844,780"
Toronto Public Health,Environmental Health,Environmental Health,510A,Contribution To Reserves/Reserve Funds,Expenses,"167,624"
Toronto Public Health,Environmental Health,Environmental Health,650A,Other Expenditures,Expenses,"14,000"
Toronto Public Health,Environmental Health,Environmental Health,700A,Inter-Divisional Charges,Expenses,"1,980,567"
Toronto Public Health,Family Health,Family Health,100A,Salaries And Benefits,Expenses,"60,996,496"
Toronto Public Health,Family Health,Family Health,200A,Materials & Supplies,Expenses,"1,124,980"
Toronto Public Health,Family Health,Family Health,300A,Equipment,Expenses,"276,466"
Toronto Public Health,Family Health,Family Health,400A,Service And Rent,Expenses,"15,929,901"
Toronto Public Health,Family Health,Family Health,510A,Contribution To Reserves/Reserve Funds,Expenses,"361,037"
Toronto Public Health,Family Health,Family Health,650A,Other Expenditures,Expenses,"2,768,277"
Toronto Public Health,Family Health,Family Health,700A,Inter-Divisional Charges,Expenses,"4,430,470"
Toronto Public Health,Infectious Diseases,Infectious Diseases,100A,Salaries And Benefits,Expenses,"48,494,157"
Toronto Public Health,Infectious Diseases,Infectious Diseases,200A,Materials & Supplies,Expenses,"1,519,562"
Toronto Public Health,Infectious Diseases,Infectious Diseases,300A,Equipment,Expenses,"292,073"
Toronto Public Health,Infectious Diseases,Infectious Diseases,400A,Service And Rent,Expenses,"7,956,068"
Toronto Public Health,Infectious Diseases,Infectious Diseases,510A,Contribution To Reserves/Reserve Funds,Expenses,"386,826"
Toronto Public Health,Infectious Diseases,Infectious Diseases,700A,Inter-Divisional Charges,Expenses,"4,442,438"
Toronto Public Health,Public Health Foundations,Public Health Foundations,100A,Salaries And Benefits,Expenses,"20,017,017"
Toronto Public Health,Public Health Foundations,Public Health Foundations,200A,Materials & Supplies,Expenses,"499,942"
Toronto Public Health,Public Health Foundations,Public Health Foundations,300A,Equipment,Expenses,"123,306"
Toronto Public Health,Public Health Foundations,Public Health Foundations,400A,Service And Rent,Expenses,"1,507,140"
Toronto Public Health,Public Health Foundations,Public Health Foundations,510A,Contribution To Reserves/Reserve Funds,Expenses,"128,942"
Toronto Public Health,Public Health Foundations,Public Health Foundations,650A,Other Expenditures,Expenses,"2,879,171"
Toronto Public Health,Public Health Foundations,Public Health Foundations,700A,Inter-Divisional Charges,Expenses,"1,481,815"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,100A,Salaries And Benefits,Expenses,"55,773,052"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,200A,Materials & Supplies,Expenses,"13,794,601"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,300A,Equipment,Expenses,"61,742"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,400A,Service And Rent,Expenses,"2,973,321"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,505A,Contribution To Capital,Expenses,"171,259"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,510A,Contribution To Reserves/Reserve Funds,Expenses,"110,971"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,100A,Salaries And Benefits,Expenses,"81,514,460"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,200A,Materials & Supplies,Expenses,"12,994,706"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,300A,Equipment,Expenses,"490,981"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,400A,Service And Rent,Expenses,"15,684,708"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,505A,Contribution To Capital,Expenses,"1,167,698"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"756,711"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",100A,Salaries And Benefits,Expenses,"5,720,311"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",200A,Materials & Supplies,Expenses,"709,468"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",300A,Equipment,Expenses,"14,204"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",400A,Service And Rent,Expenses,"501,861"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",505A,Contribution To Capital,Expenses,"39,043"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",510A,Contribution To Reserves/Reserve Funds,Expenses,"25,300"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,100A,Salaries And Benefits,Expenses,"1,268,661,900"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,200A,Materials & Supplies,Expenses,"306,969,099"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,300A,Equipment,Expenses,"33,449,400"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,400A,Service And Rent,Expenses,"88,898,800"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,650A,Other Expenditures,Expenses,"34,645,100"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,700A,Inter-Divisional Charges,Expenses,"3,680,800"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,100A,Salaries And Benefits,Expenses,"57,658,500"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,200A,Materials & Supplies,Expenses,"13,861,000"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,400A,Service And Rent,Expenses,"51,236,700"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,650A,Other Expenditures,Expenses,"909,700"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,100A,Salaries And Benefits,Expenses,"10,008,949"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,200A,Materials & Supplies,Expenses,"447,587"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,300A,Equipment,Expenses,"109,614"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,400A,Service And Rent,Expenses,"1,709,803"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,510A,Contribution To Reserves/Reserve Funds,Expenses,"476,636"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,650A,Other Expenditures,Expenses,"14,000"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,700A,Inter-Divisional Charges,Expenses,"3,845,609"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,100A,Salaries And Benefits,Expenses,"(1,053,053)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,200A,Materials & Supplies,Expenses,"442,750"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,300A,Equipment,Expenses,"52,330"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,400A,Service And Rent,Expenses,"352,557"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,510A,Contribution To Reserves/Reserve Funds,Expenses,0
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,650A,Other Expenditures,Expenses,"4,714,314"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,700A,Inter-Divisional Charges,Expenses,"2,224,532"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,100A,Salaries And Benefits,Expenses,"29,736,498"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,200A,Materials & Supplies,Expenses,"2,323,244"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,300A,Equipment,Expenses,"252,459"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,400A,Service And Rent,Expenses,"8,322,856"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,906,546"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,650A,Other Expenditures,Expenses,"68,200"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,700A,Inter-Divisional Charges,Expenses,"15,531,562"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,100A,Salaries And Benefits,Expenses,"56,056,007"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,200A,Materials & Supplies,Expenses,"54,058,495"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,300A,Equipment,Expenses,"1,674,337"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,400A,Service And Rent,Expenses,"27,336,092"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,383,182"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,650A,Other Expenditures,Expenses,"8,018,363"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,700A,Inter-Divisional Charges,Expenses,"14,267,919"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,100A,Salaries And Benefits,Expenses,"44,977,256"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,200A,Materials & Supplies,Expenses,"3,554,888"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,300A,Equipment,Expenses,"578,947"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,400A,Service And Rent,Expenses,"14,560,578"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,496,191"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,650A,Other Expenditures,Expenses,"128,600"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,700A,Inter-Divisional Charges,Expenses,"23,506,088"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,100A,Salaries And Benefits,Expenses,"30,020,659"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,200A,Materials & Supplies,Expenses,"46,913,528"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,300A,Equipment,Expenses,"489,473"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,400A,Service And Rent,Expenses,"4,488,506"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,383,182"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,650A,Other Expenditures,Expenses,"7,129,141"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,700A,Inter-Divisional Charges,Expenses,"12,980,419"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,100A,Salaries And Benefits,Expenses,"13,537,521"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,200A,Materials & Supplies,Expenses,"2,027,564"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,300A,Equipment,Expenses,"131,449"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,400A,Service And Rent,Expenses,"2,260,999"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,510A,Contribution To Reserves/Reserve Funds,Expenses,"10,930"
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,100A,Salaries And Benefits,Expenses,"1,144,654"
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,200A,Materials & Supplies,Expenses,"518,527"
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,300A,Equipment,Expenses,"10,927"
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,400A,Service And Rent,Expenses,"1,239,800"
