311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,5293589,
Transportation Services,TP-Permits & Applications,Construction Permits,Sundry and Other Revenues,940A,38589,
Transportation Services,TP-Permits & Applications,Construction Permits,Transfers From Capital,920A,15139,
Transportation Services,TP-Permits & Applications,Construction Permits,User Fees & Donations,850A,1188893,
Transportation Services,TP-Permits & Applications,Development Review Applications,Contribution From Reserves/Reserve Funds,930A,383197,
Transportation Services,TP-Permits & Applications,Development Review Applications,Sundry and Other Revenues,940A,103720,
Transportation Services,TP-Permits & Applications,Development Review Applications,Transfers From Capital,920A,8169,
Transportation Services,TP-Permits & Applications,Development Review Applications,User Fees & Donations,850A,2550517,
Transportation Services,TP-Permits & Applications,Parking Permits,Contribution From Reserves/Reserve Funds,930A,892976,
Transportation Services,TP-Permits & Applications,Parking Permits,Licences & Permits Revenue,860A,585869,
Transportation Services,TP-Permits & Applications,Parking Permits,Sundry and Other Revenues,940A,-1233508,Non-normal value
Transportation Services,TP-Permits & Applications,Parking Permits,Transfers From Capital,920A,8169,
Transportation Services,TP-Permits & Applications,Parking Permits,User Fees & Donations,850A,19677292,
Transportation Services,TP-Permits & Applications,Street Events,Contribution From Reserves/Reserve Funds,930A,1219853,
Transportation Services,TP-Permits & Applications,Street Events,Licences & Permits Revenue,860A,569802,
Transportation Services,TP-Permits & Applications,Street Events,Sundry and Other Revenues,940A,-94129,Non-normal value
Transportation Services,TP-Permits & Applications,Street Events,Transfers From Capital,920A,10492,
Transportation Services,TP-Permits & Applications,Street Events,User Fees & Donations,850A,186685,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Contribution From Reserves/Reserve Funds,930A,426544,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Sundry and Other Revenues,940A,758819,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Transfers From Capital,920A,2438350,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",User Fees & Donations,850A,46012,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Contribution From Reserves/Reserve Funds,930A,383299,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Sundry and Other Revenues,940A,102738,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Transfers From Capital,920A,464811,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Contribution From Reserves/Reserve Funds,930A,1688190,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Sundry and Other Revenues,940A,124282,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Transfers From Capital,920A,1014128,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,User Fees & Donations,850A,15338,
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Contribution From Reserves/Reserve Funds,930A,8299322,
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Sundry and Other Revenues,940A,280282,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Contribution From Reserves/Reserve Funds,930A,6178514,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Inter-Divisional Recoveries,750A,8709700,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Sundry and Other Revenues,940A,32984486,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Transfers From Capital,920A,19520495,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,User Fees & Donations,850A,13648378,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Contribution From Reserves/Reserve Funds,930A,681838,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Inter-Divisional Recoveries,750A,18449,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Sundry and Other Revenues,940A,588193,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Transfers From Capital,920A,161785,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,User Fees & Donations,850A,87944,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Contribution From Reserves/Reserve Funds,930A,84658,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Sundry and Other Revenues,940A,3211582,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Transfers From Capital,920A,1087382,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Contribution From Reserves/Reserve Funds,930A,84658,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Sundry and Other Revenues,940A,1826789,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Transfers From Capital,920A,6454,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Contribution From Reserves/Reserve Funds,930A,84658,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Sundry and Other Revenues,940A,1068165,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Transfers From Capital,920A,1268095,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,User Fees & Donations,850A,78476,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Contribution From Reserves/Reserve Funds,930A,383197,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Sundry and Other Revenues,940A,1201334,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Transfers From Capital,920A,994012,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,User Fees & Donations,850A,82951,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Licences & Permits Revenue,860A,345000,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Sundry and Other Revenues,940A,527649,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,User Fees & Donations,850A,1000000,
