311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,5293589,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Provincial Subsidies,805A,Revenues,48084727,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Sundry and Other Revenues,940A,Revenues,1041312,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Transfers From Capital,920A,Revenues,1199362,
Toronto Public Health,Infectious Diseases,Infectious Diseases,User Fees & Donations,850A,Revenues,71217,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Federal Subsidies,810A,Revenues,23500,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Inter-Divisional Recoveries,750A,Revenues,689594,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Provincial Subsidies,805A,Revenues,16280788,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Sundry and Other Revenues,940A,Revenues,301438,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Transfers From Capital,920A,Revenues,348564,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution From Reserves/Reserve Funds,930A,Revenues,3476000,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Federal Subsidies,810A,Revenues,3628,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Provincial Subsidies,805A,Revenues,1033120,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Sundry and Other Revenues,940A,Revenues,344216,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Transfers From Capital,920A,Revenues,56596,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,User Fees & Donations,850A,Revenues,912902,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution From Reserves/Reserve Funds,930A,Revenues,83400,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Federal Subsidies,810A,Revenues,16002,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Provincial Subsidies,805A,Revenues,4557047,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Sundry and Other Revenues,940A,Revenues,1518322,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Transfers From Capital,920A,Revenues,249639,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,User Fees & Donations,850A,Revenues,4026019,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Federal Subsidies,810A,Revenues,370,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Provincial Subsidies,805A,Revenues,105233,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Sundry and Other Revenues,940A,Revenues,35062,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Transfers From Capital,920A,Revenues,5765,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",User Fees & Donations,850A,Revenues,92779,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Contribution From Reserves/Reserve Funds,930A,Revenues,9897500,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Sundry and Other Revenues,940A,Revenues,3504300,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,User Fees & Donations,850A,Revenues,1206687700,
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Contribution From Reserves/Reserve Funds,930A,Revenues,300000,
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,User Fees & Donations,850A,Revenues,6214300,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Sundry and Other Revenues,940A,Revenues,1028946,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Transfers From Capital,920A,Revenues,128940,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,User Fees & Donations,850A,Revenues,1396955,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution From Reserves/Reserve Funds,930A,Revenues,195000,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Sundry and Other Revenues,940A,Revenues,558415,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Transfers From Capital,920A,Revenues,73007,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,User Fees & Donations,850A,Revenues,100483,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Sundry and Other Revenues,940A,Revenues,516948861,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Transfers From Capital,920A,Revenues,493558,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,User Fees & Donations,850A,Revenues,7500183,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Recoveries,750A,Revenues,25000,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Sundry and Other Revenues,940A,Revenues,20114310,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Transfers From Capital,920A,Revenues,534916,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,User Fees & Donations,850A,Revenues,14628670,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Sundry and Other Revenues,940A,Revenues,462538239,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Transfers From Capital,920A,Revenues,1058377,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,User Fees & Donations,850A,Revenues,12991624,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Sundry and Other Revenues,940A,Revenues,37227771,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Transfers From Capital,920A,Revenues,378348,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,User Fees & Donations,850A,Revenues,3213446,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Provincial Subsidies,805A,Revenues,1011500,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Sundry and Other Revenues,940A,Revenues,74063,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,User Fees & Donations,850A,Revenues,909396,
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,Sundry and Other Revenues,940A,Revenues,450,
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,User Fees & Donations,850A,Revenues,3130161,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Contribution From Reserves/Reserve Funds,930A,Revenues,386000,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Sundry and Other Revenues,940A,Revenues,646687,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Transfers From Capital,920A,Revenues,171000,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,User Fees & Donations,850A,Revenues,32525846,
Transportation Services,TP-Permits & Applications,Construction Permits,Contribution From Reserves/Reserve Funds,930A,Revenues,1623191,
Transportation Services,TP-Permits & Applications,Construction Permits,Licences & Permits Revenue,860A,Revenues,5020398,
Transportation Services,TP-Permits & Applications,Construction Permits,Sundry and Other Revenues,940A,Revenues,38589,
Transportation Services,TP-Permits & Applications,Construction Permits,Transfers From Capital,920A,Revenues,15139,
Transportation Services,TP-Permits & Applications,Construction Permits,User Fees & Donations,850A,Revenues,1188893,
Transportation Services,TP-Permits & Applications,Development Review Applications,Contribution From Reserves/Reserve Funds,930A,Revenues,383197,
Transportation Services,TP-Permits & Applications,Development Review Applications,Sundry and Other Revenues,940A,Revenues,103720,
Transportation Services,TP-Permits & Applications,Development Review Applications,Transfers From Capital,920A,Revenues,8169,
Transportation Services,TP-Permits & Applications,Development Review Applications,User Fees & Donations,850A,Revenues,2550517,
Transportation Services,TP-Permits & Applications,Parking Permits,Contribution From Reserves/Reserve Funds,930A,Revenues,892976,
Transportation Services,TP-Permits & Applications,Parking Permits,Licences & Permits Revenue,860A,Revenues,585869,
Transportation Services,TP-Permits & Applications,Parking Permits,Sundry and Other Revenues,940A,Revenues,-1233508,Non-normal value
Transportation Services,TP-Permits & Applications,Parking Permits,Transfers From Capital,920A,Revenues,8169,
Transportation Services,TP-Permits & Applications,Parking Permits,User Fees & Donations,850A,Revenues,19677292,
Transportation Services,TP-Permits & Applications,Street Events,Contribution From Reserves/Reserve Funds,930A,Revenues,1219853,
Transportation Services,TP-Permits & Applications,Street Events,Licences & Permits Revenue,860A,Revenues,569802,
Transportation Services,TP-Permits & Applications,Street Events,Sundry and Other Revenues,940A,Revenues,-94129,Non-normal value
Transportation Services,TP-Permits & Applications,Street Events,Transfers From Capital,920A,Revenues,10492,
Transportation Services,TP-Permits & Applications,Street Events,User Fees & Donations,850A,Revenues,186685,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Contribution From Reserves/Reserve Funds,930A,Revenues,426544,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Sundry and Other Revenues,940A,Revenues,758819,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Transfers From Capital,920A,Revenues,2438350,
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",User Fees & Donations,850A,Revenues,46012,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Contribution From Reserves/Reserve Funds,930A,Revenues,383299,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Sundry and Other Revenues,940A,Revenues,102738,
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Transfers From Capital,920A,Revenues,464811,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,1688190,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Sundry and Other Revenues,940A,Revenues,124282,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Transfers From Capital,920A,Revenues,1014128,
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,User Fees & Donations,850A,Revenues,15338,
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,8299322,
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Sundry and Other Revenues,940A,Revenues,280282,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Contribution From Reserves/Reserve Funds,930A,Revenues,6178514,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Inter-Divisional Recoveries,750A,Revenues,8709700,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Sundry and Other Revenues,940A,Revenues,32984486,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Transfers From Capital,920A,Revenues,19520495,
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,User Fees & Donations,850A,Revenues,13648378,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Contribution From Reserves/Reserve Funds,930A,Revenues,681838,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Inter-Divisional Recoveries,750A,Revenues,18449,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Sundry and Other Revenues,940A,Revenues,588193,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Transfers From Capital,920A,Revenues,161785,
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,User Fees & Donations,850A,Revenues,87944,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,84658,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Sundry and Other Revenues,940A,Revenues,3211582,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Transfers From Capital,920A,Revenues,1087382,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Contribution From Reserves/Reserve Funds,930A,Revenues,84658,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Sundry and Other Revenues,940A,Revenues,1826789,
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Transfers From Capital,920A,Revenues,6454,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Contribution From Reserves/Reserve Funds,930A,Revenues,84658,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Sundry and Other Revenues,940A,Revenues,1068165,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Transfers From Capital,920A,Revenues,1268095,
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,User Fees & Donations,850A,Revenues,78476,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Contribution From Reserves/Reserve Funds,930A,Revenues,383197,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Sundry and Other Revenues,940A,Revenues,1201334,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Transfers From Capital,920A,Revenues,994012,
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,User Fees & Donations,850A,Revenues,82951,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Licences & Permits Revenue,860A,Revenues,345000,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Sundry and Other Revenues,940A,Revenues,527649,
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,User Fees & Donations,850A,Revenues,1000000,
