311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Transfers From Capital,920A,Revenues,"(71,550)"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,User Fees & Donations,850A,Revenues,"(267,425)"
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Contribution From Reserves/Reserve Funds,930A,Revenues,"(409,503)"
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Recoveries,750A,Revenues,"(1,621)"
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Provincial Subsidies,805A,Revenues,"(1,004,278)"
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Sundry and Other Revenues,940A,Revenues,"(1,764,332)"
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Transfers From Capital,920A,Revenues,(675)
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,User Fees & Donations,850A,Revenues,"(390,092)"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Provincial Subsidies,805A,Revenues,"(26,097,072)"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Sundry and Other Revenues,940A,Revenues,"(2,352)"
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,User Fees & Donations,850A,Revenues,"(7,091)"
Toronto Parking Authority,Bike Share,Bike Share,Contribution From Reserves/Reserve Funds,930A,Revenues,"(770,000)"
Toronto Parking Authority,Bike Share,Bike Share,Sundry and Other Revenues,940A,Revenues,"(55,100)"
Toronto Parking Authority,Bike Share,Bike Share,User Fees & Donations,850A,Revenues,"(88,000)"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Sundry and Other Revenues,940A,Revenues,"(4,525,503)"
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,User Fees & Donations,850A,Revenues,"(80,392,489)"
Toronto Parking Authority,On-Street Parking,On-Street Parking,User Fees & Donations,850A,Revenues,"(48,398,348)"
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution From Reserves/Reserve Funds,930A,Revenues,"(22,534,000)"
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Recoveries,750A,Revenues,"(9,956,100)"
Toronto Police Service,Toronto Police Service,Toronto Police Service,Provincial Subsidies,805A,Revenues,"(112,245,200)"
Toronto Police Service,Toronto Police Service,Toronto Police Service,Sundry and Other Revenues,940A,Revenues,"(900,000)"
Toronto Police Service,Toronto Police Service,Toronto Police Service,User Fees & Donations,850A,Revenues,"(47,018,800)"
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution From Reserves/Reserve Funds,930A,Revenues,"(750,000)"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Contribution From Reserves/Reserve Funds,930A,Revenues,"(52,467)"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Federal Subsidies,810A,Revenues,"(232,161)"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Provincial Subsidies,805A,Revenues,"(24,233,248)"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Sundry and Other Revenues,940A,Revenues,"(7,418)"
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Transfers From Capital,920A,Revenues,"(812,865)"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Contribution From Reserves/Reserve Funds,930A,Revenues,"(6,279)"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Provincial Subsidies,805A,Revenues,"(2,304,208)"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Sundry and Other Revenues,940A,Revenues,"(10,488)"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Transfers From Capital,920A,Revenues,"(68,128)"
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,User Fees & Donations,850A,Revenues,"(20,909)"
Toronto Public Health,Environmental Health,Environmental Health,Contribution From Reserves/Reserve Funds,930A,Revenues,"(62,790)"
Toronto Public Health,Environmental Health,Environmental Health,Federal Subsidies,810A,Revenues,"(128,036)"
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Recoveries,750A,Revenues,"(10,630)"
Toronto Public Health,Environmental Health,Environmental Health,Provincial Subsidies,805A,Revenues,"(17,030,736)"
Toronto Public Health,Environmental Health,Environmental Health,Sundry and Other Revenues,940A,Revenues,"(103,512)"
Toronto Public Health,Environmental Health,Environmental Health,Transfers From Capital,920A,Revenues,"(327,853)"
Toronto Public Health,Environmental Health,Environmental Health,User Fees & Donations,850A,Revenues,"(929,620)"
Toronto Public Health,Family Health,Family Health,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,256)"
Toronto Public Health,Family Health,Family Health,Inter-Divisional Recoveries,750A,Revenues,"(9,841,662)"
Toronto Public Health,Family Health,Family Health,Provincial Subsidies,805A,Revenues,"(71,655,506)"
Toronto Public Health,Family Health,Family Health,Sundry and Other Revenues,940A,Revenues,"(234,738)"
Toronto Public Health,Family Health,Family Health,Transfers From Capital,920A,Revenues,"(881,765)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,Contribution From Reserves/Reserve Funds,930A,Revenues,"(51,488)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,Federal Subsidies,810A,Revenues,"(3,731)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,Provincial Subsidies,805A,Revenues,"(48,084,727)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,Sundry and Other Revenues,940A,Revenues,"(1,041,312)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,Transfers From Capital,920A,Revenues,"(1,199,362)"
Toronto Public Health,Infectious Diseases,Infectious Diseases,User Fees & Donations,850A,Revenues,"(71,217)"
Toronto Public Health,Public Health Foundations,Public Health Foundations,Federal Subsidies,810A,Revenues,"(23,500)"
Toronto Public Health,Public Health Foundations,Public Health Foundations,Inter-Divisional Recoveries,750A,Revenues,"(689,594)"
Toronto Public Health,Public Health Foundations,Public Health Foundations,Provincial Subsidies,805A,Revenues,"(16,280,788)"
Toronto Public Health,Public Health Foundations,Public Health Foundations,Sundry and Other Revenues,940A,Revenues,"(301,438)"
Toronto Public Health,Public Health Foundations,Public Health Foundations,Transfers From Capital,920A,Revenues,"(348,564)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution From Reserves/Reserve Funds,930A,Revenues,"(3,476,000)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Federal Subsidies,810A,Revenues,"(3,628)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Provincial Subsidies,805A,Revenues,"(1,033,120)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Sundry and Other Revenues,940A,Revenues,"(344,216)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Transfers From Capital,920A,Revenues,"(56,596)"
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,User Fees & Donations,850A,Revenues,"(912,902)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution From Reserves/Reserve Funds,930A,Revenues,"(83,400)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Federal Subsidies,810A,Revenues,"(16,002)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Provincial Subsidies,805A,Revenues,"(4,557,047)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Sundry and Other Revenues,940A,Revenues,"(1,518,322)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Transfers From Capital,920A,Revenues,"(249,639)"
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,User Fees & Donations,850A,Revenues,"(4,026,019)"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Federal Subsidies,810A,Revenues,(370)
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Provincial Subsidies,805A,Revenues,"(105,233)"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Sundry and Other Revenues,940A,Revenues,"(35,062)"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Transfers From Capital,920A,Revenues,"(5,765)"
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",User Fees & Donations,850A,Revenues,"(92,779)"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Contribution From Reserves/Reserve Funds,930A,Revenues,"(9,897,500)"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Sundry and Other Revenues,940A,Revenues,"(3,504,300)"
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,User Fees & Donations,850A,Revenues,"(1,206,687,700)"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Contribution From Reserves/Reserve Funds,930A,Revenues,"(300,000)"
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,User Fees & Donations,850A,Revenues,"(6,214,300)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Sundry and Other Revenues,940A,Revenues,"(1,028,946)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Transfers From Capital,920A,Revenues,"(128,940)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,User Fees & Donations,850A,Revenues,"(1,396,955)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution From Reserves/Reserve Funds,930A,Revenues,"(195,000)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Sundry and Other Revenues,940A,Revenues,"(558,415)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Transfers From Capital,920A,Revenues,"(73,007)"
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,User Fees & Donations,850A,Revenues,"(100,483)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Sundry and Other Revenues,940A,Revenues,"(516,948,861)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Transfers From Capital,920A,Revenues,"(493,558)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,User Fees & Donations,850A,Revenues,"(7,500,183)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Recoveries,750A,Revenues,"(25,000)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Sundry and Other Revenues,940A,Revenues,"(20,114,310)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Transfers From Capital,920A,Revenues,"(534,916)"
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,User Fees & Donations,850A,Revenues,"(14,628,670)"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Sundry and Other Revenues,940A,Revenues,"(462,538,239)"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Transfers From Capital,920A,Revenues,"(1,058,377)"
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,User Fees & Donations,850A,Revenues,"(12,991,624)"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Sundry and Other Revenues,940A,Revenues,"(37,227,771)"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Transfers From Capital,920A,Revenues,"(378,348)"
Toronto Water,TW-Water Treatment & Supply,Water Treatment,User Fees & Donations,850A,Revenues,"(3,213,446)"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Provincial Subsidies,805A,Revenues,"(1,011,500)"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Sundry and Other Revenues,940A,Revenues,"(74,063)"
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,User Fees & Donations,850A,Revenues,"(909,396)"
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,Sundry and Other Revenues,940A,Revenues,(450)
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,User Fees & Donations,850A,Revenues,"(3,130,161)"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Contribution From Reserves/Reserve Funds,930A,Revenues,"(386,000)"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Sundry and Other Revenues,940A,Revenues,"(646,687)"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Transfers From Capital,920A,Revenues,"(171,000)"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,User Fees & Donations,850A,Revenues,"(32,525,846)"
Transportation Services,TP-Permits & Applications,Construction Permits,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,623,191)"
Transportation Services,TP-Permits & Applications,Construction Permits,Licences & Permits Revenue,860A,Revenues,"(5,020,398)"
Transportation Services,TP-Permits & Applications,Construction Permits,Sundry and Other Revenues,940A,Revenues,"(38,589)"
Transportation Services,TP-Permits & Applications,Construction Permits,Transfers From Capital,920A,Revenues,"(15,139)"
Transportation Services,TP-Permits & Applications,Construction Permits,User Fees & Donations,850A,Revenues,"(1,188,893)"
Transportation Services,TP-Permits & Applications,Development Review Applications,Contribution From Reserves/Reserve Funds,930A,Revenues,"(383,197)"
Transportation Services,TP-Permits & Applications,Development Review Applications,Sundry and Other Revenues,940A,Revenues,"(103,720)"
Transportation Services,TP-Permits & Applications,Development Review Applications,Transfers From Capital,920A,Revenues,"(8,169)"
Transportation Services,TP-Permits & Applications,Development Review Applications,User Fees & Donations,850A,Revenues,"(2,550,517)"
Transportation Services,TP-Permits & Applications,Parking Permits,Contribution From Reserves/Reserve Funds,930A,Revenues,"(892,976)"
Transportation Services,TP-Permits & Applications,Parking Permits,Licences & Permits Revenue,860A,Revenues,"(585,869)"
Transportation Services,TP-Permits & Applications,Parking Permits,Sundry and Other Revenues,940A,Revenues,1233508
Transportation Services,TP-Permits & Applications,Parking Permits,Transfers From Capital,920A,Revenues,"(8,169)"
Transportation Services,TP-Permits & Applications,Parking Permits,User Fees & Donations,850A,Revenues,"(19,677,292)"
Transportation Services,TP-Permits & Applications,Street Events,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,219,853)"
Transportation Services,TP-Permits & Applications,Street Events,Licences & Permits Revenue,860A,Revenues,"(569,802)"
Transportation Services,TP-Permits & Applications,Street Events,Sundry and Other Revenues,940A,Revenues,94129
Transportation Services,TP-Permits & Applications,Street Events,Transfers From Capital,920A,Revenues,"(10,492)"
Transportation Services,TP-Permits & Applications,Street Events,User Fees & Donations,850A,Revenues,"(186,685)"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Contribution From Reserves/Reserve Funds,930A,Revenues,"(426,544)"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Sundry and Other Revenues,940A,Revenues,"(758,819)"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Transfers From Capital,920A,Revenues,"(2,438,350)"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",User Fees & Donations,850A,Revenues,"(46,012)"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Contribution From Reserves/Reserve Funds,930A,Revenues,"(383,299)"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Sundry and Other Revenues,940A,Revenues,"(102,738)"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Transfers From Capital,920A,Revenues,"(464,811)"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,688,190)"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Sundry and Other Revenues,940A,Revenues,"(124,282)"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Transfers From Capital,920A,Revenues,"(1,014,128)"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,User Fees & Donations,850A,Revenues,"(15,338)"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(8,299,322)"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Sundry and Other Revenues,940A,Revenues,"(280,282)"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Contribution From Reserves/Reserve Funds,930A,Revenues,"(6,178,514)"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Inter-Divisional Recoveries,750A,Revenues,"(8,709,700)"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Sundry and Other Revenues,940A,Revenues,"(32,984,486)"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Transfers From Capital,920A,Revenues,"(19,520,495)"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,User Fees & Donations,850A,Revenues,"(13,648,378)"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Contribution From Reserves/Reserve Funds,930A,Revenues,"(681,838)"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Inter-Divisional Recoveries,750A,Revenues,"(18,449)"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Sundry and Other Revenues,940A,Revenues,"(588,193)"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Transfers From Capital,920A,Revenues,"(161,785)"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,User Fees & Donations,850A,Revenues,"(87,944)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,"(84,658)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Sundry and Other Revenues,940A,Revenues,"(3,211,582)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Transfers From Capital,920A,Revenues,"(1,087,382)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Contribution From Reserves/Reserve Funds,930A,Revenues,"(84,658)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Sundry and Other Revenues,940A,Revenues,"(1,826,789)"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Transfers From Capital,920A,Revenues,"(6,454)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Contribution From Reserves/Reserve Funds,930A,Revenues,"(84,658)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Sundry and Other Revenues,940A,Revenues,"(1,068,165)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Transfers From Capital,920A,Revenues,"(1,268,095)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,User Fees & Donations,850A,Revenues,"(78,476)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Contribution From Reserves/Reserve Funds,930A,Revenues,"(383,197)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Sundry and Other Revenues,940A,Revenues,"(1,201,334)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Transfers From Capital,920A,Revenues,"(994,012)"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,User Fees & Donations,850A,Revenues,"(82,951)"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Licences & Permits Revenue,860A,Revenues,"(345,000)"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,Sundry and Other Revenues,940A,Revenues,"(527,649)"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,User Fees & Donations,850A,Revenues,"(1,000,000)"
