311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,5693589
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",850A,User Fees & Donations,Revenues,90244
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",920A,Transfers From Capital,Revenues,17382
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",930A,Contribution From Reserves/Reserve Funds,Revenues,18889
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",940A,Sundry and Other Revenues,Revenues,36375
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,850A,User Fees & Donations,Revenues,1240128500
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,930A,Contribution From Reserves/Reserve Funds,Revenues,1001200
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,850A,User Fees & Donations,Revenues,6953500
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,850A,User Fees & Donations,Revenues,1432356
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,920A,Transfers From Capital,Revenues,163206
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,940A,Sundry and Other Revenues,Revenues,1028946
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,850A,User Fees & Donations,Revenues,103445
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,920A,Transfers From Capital,Revenues,73007
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,930A,Contribution From Reserves/Reserve Funds,Revenues,195000
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,940A,Sundry and Other Revenues,Revenues,558415
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,850A,User Fees & Donations,Revenues,7134922
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,920A,Transfers From Capital,Revenues,630622
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,940A,Sundry and Other Revenues,Revenues,150286732
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,750A,Inter-Divisional Recoveries,Revenues,25000
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,850A,User Fees & Donations,Revenues,15294333
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,920A,Transfers From Capital,Revenues,669976
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,940A,Sundry and Other Revenues,Revenues,468689414
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,850A,User Fees & Donations,Revenues,12797545
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,920A,Transfers From Capital,Revenues,525790
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,940A,Sundry and Other Revenues,Revenues,227721583
Toronto Water,TW-Water Treatment & Supply,Water Treatment,850A,User Fees & Donations,Revenues,3539702
Toronto Water,TW-Water Treatment & Supply,Water Treatment,920A,Transfers From Capital,Revenues,378348
Toronto Water,TW-Water Treatment & Supply,Water Treatment,940A,Sundry and Other Revenues,Revenues,267230260
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,805A,Provincial Subsidies,Revenues,1011500
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,850A,User Fees & Donations,Revenues,921173
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,940A,Sundry and Other Revenues,Revenues,74063
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,850A,User Fees & Donations,Revenues,2467100
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,940A,Sundry and Other Revenues,Revenues,450
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,850A,User Fees & Donations,Revenues,33502006
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,920A,Transfers From Capital,Revenues,171000
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,930A,Contribution From Reserves/Reserve Funds,Revenues,386000
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,940A,Sundry and Other Revenues,Revenues,646687
Transportation Services,TP-Permits & Applications,Construction Permits,850A,User Fees & Donations,Revenues,2888909
Transportation Services,TP-Permits & Applications,Construction Permits,860A,Licences & Permits Revenue,Revenues,8629020
Transportation Services,TP-Permits & Applications,Construction Permits,920A,Transfers From Capital,Revenues,20329
Transportation Services,TP-Permits & Applications,Construction Permits,930A,Contribution From Reserves/Reserve Funds,Revenues,1623191
Transportation Services,TP-Permits & Applications,Construction Permits,940A,Sundry and Other Revenues,Revenues,58148
Transportation Services,TP-Permits & Applications,Development Review Applications,850A,User Fees & Donations,Revenues,2610207
Transportation Services,TP-Permits & Applications,Development Review Applications,920A,Transfers From Capital,Revenues,13360
Transportation Services,TP-Permits & Applications,Development Review Applications,930A,Contribution From Reserves/Reserve Funds,Revenues,298539
Transportation Services,TP-Permits & Applications,Development Review Applications,940A,Sundry and Other Revenues,Revenues,54652
Transportation Services,TP-Permits & Applications,Parking Permits,850A,User Fees & Donations,Revenues,20160593
Transportation Services,TP-Permits & Applications,Parking Permits,860A,Licences & Permits Revenue,Revenues,536784
Transportation Services,TP-Permits & Applications,Parking Permits,920A,Transfers From Capital,Revenues,13360
Transportation Services,TP-Permits & Applications,Parking Permits,930A,Contribution From Reserves/Reserve Funds,Revenues,892976
Transportation Services,TP-Permits & Applications,Parking Permits,940A,Sundry and Other Revenues,Revenues,-1213941
Transportation Services,TP-Permits & Applications,Street Events,850A,User Fees & Donations,Revenues,558770
Transportation Services,TP-Permits & Applications,Street Events,860A,Licences & Permits Revenue,Revenues,458493
Transportation Services,TP-Permits & Applications,Street Events,920A,Transfers From Capital,Revenues,15683
Transportation Services,TP-Permits & Applications,Street Events,930A,Contribution From Reserves/Reserve Funds,Revenues,1135195
Transportation Services,TP-Permits & Applications,Street Events,940A,Sundry and Other Revenues,Revenues,-134852
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",850A,User Fees & Donations,Revenues,47485
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",920A,Transfers From Capital,Revenues,2438350
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",940A,Sundry and Other Revenues,Revenues,693460
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,920A,Transfers From Capital,Revenues,470002
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,930A,Contribution From Reserves/Reserve Funds,Revenues,298539
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,940A,Sundry and Other Revenues,Revenues,54652
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,850A,User Fees & Donations,Revenues,15338
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,920A,Transfers From Capital,Revenues,1304019
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,1683120
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,940A,Sundry and Other Revenues,Revenues,86265
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,920A,Transfers From Capital,Revenues,495978
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,8646202
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,940A,Sundry and Other Revenues,Revenues,15000
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,750A,Inter-Divisional Recoveries,Revenues,13975000
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,850A,User Fees & Donations,Revenues,18834068
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,920A,Transfers From Capital,Revenues,22023922
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,930A,Contribution From Reserves/Reserve Funds,Revenues,797078
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,940A,Sundry and Other Revenues,Revenues,55332777
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,750A,Inter-Divisional Recoveries,Revenues,200000
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,850A,User Fees & Donations,Revenues,68327
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,920A,Transfers From Capital,Revenues,172167
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,930A,Contribution From Reserves/Reserve Funds,Revenues,4597078
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,940A,Sundry and Other Revenues,Revenues,540545
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,920A,Transfers From Capital,Revenues,1087382
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,940A,Sundry and Other Revenues,Revenues,2768720
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,920A,Transfers From Capital,Revenues,6454
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,940A,Sundry and Other Revenues,Revenues,579568
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,850A,User Fees & Donations,Revenues,80359
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,920A,Transfers From Capital,Revenues,1268095
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,940A,Sundry and Other Revenues,Revenues,734845
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,850A,User Fees & Donations,Revenues,84411
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,920A,Transfers From Capital,Revenues,999203
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,930A,Contribution From Reserves/Reserve Funds,Revenues,298539
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,940A,Sundry and Other Revenues,Revenues,1152902
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,850A,User Fees & Donations,Revenues,1060000
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,860A,Licences & Permits Revenue,Revenues,345000
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,940A,Sundry and Other Revenues,Revenues,540150
